year_month,airport_code,airport_name,state,scheduled_departures,on_time_arrival_pct,dep_delay_rate_pct,avg_dep_delay_min,avg_taxi_out_min,cancellation_rate_pct
2025-08,PAE,Seattle Paine Field International Airport,WA,81,75.64,20.51,15.92,14.4,3.704
2025-08,PQI,Presque Isle International Airport,ME,31,100.0,0.0,-7.94,6.71,0.0
2025-08,ISP,Long Island MacArthur Airport,NY,403,71.93,27.61,20.21,11.91,0.248
2025-09,DFW,Dallas Fort Worth International Airport,TX,25641,77.43,22.54,14.61,19.51,1.872
2025-09,SGF,Springfield Branson National Airport,MO,799,80.53,15.79,6.05,16.8,0.125
2025-09,MCI,Kansas City International Airport,MO,3928,81.98,16.35,7.58,16.03,0.331
2025-09,CWA,Central Wisconsin Airport,WI,85,85.88,14.12,6.72,12.38,0.0
2025-09,LIT,Bill & Hillary Clinton National Airport/Adams Field,AR,1058,85.06,14.18,7.66,14.95,0.662
2025-09,AZO,Kalamazoo/Battle Creek International Airport,MI,171,90.59,10.0,-0.06,15.27,0.585
2025-09,BIL,Billings Logan International Airport,MT,458,86.4,10.5,0.52,15.87,0.218
2025-09,ICT,Wichita Dwight D. Eisenhower National Airport,KS,956,82.26,15.7,6.76,15.45,0.732
2025-09,MLU,Monroe Regional Airport,LA,90,86.52,13.48,37.93,15.99,1.111
2025-09,TUS,Tucson International Airport,AZ,1371,84.59,14.9,8.96,15.2,1.094
2025-09,RAP,Rapid City Regional Airport,SD,496,83.81,13.36,4.82,17.44,0.403
2025-09,EYW,Key West International Airport,FL,439,86.47,13.47,5.1,14.17,0.228
2025-09,SAV,Savannah Hilton Head International Airport,GA,1553,84.42,16.87,8.41,15.22,0.773
2025-09,HHH,Hilton Head Airport,SC,220,91.67,9.63,1.23,16.37,0.909
2025-09,MEM,Frederick W. Smith International Airport,TN,2059,87.52,12.07,4.27,14.74,0.194
2025-09,MSN,Dane County Regional Truax Field,WI,1162,83.26,12.54,8.48,16.36,0.516
2025-09,AVP,Wilkes-Barre/Scranton International Airport,PA,146,89.04,9.59,-2.33,14.8,0.0
2025-09,GGG,East Texas Regional Airport,TX,60,86.44,15.25,9.08,13.37,1.667
2025-09,SPI,Abraham Lincoln Capital Airport,IL,57,83.93,19.64,11.75,11.48,1.754
