origin,flight_date,airport_code,y,lightgbm,seasonal_naive,mean_4wk_same_weekday,target
2026-06-26,2026-06-27,DFW,904.0,901.8282047159114,904.0,900.5,scheduled_departures
2026-06-26,2026-06-28,DFW,946.0,953.509441704728,952.0,946.5,scheduled_departures
2026-06-26,2026-06-29,DFW,946.0,959.4749434437311,954.0,946.25,scheduled_departures
2026-06-26,2026-06-30,DFW,895.0,909.8590223067471,902.0,895.25,scheduled_departures
2026-06-26,2026-07-01,DFW,906.0,917.729265812534,910.0,902.0,scheduled_departures
2026-06-26,2026-07-02,DFW,954.0,959.9492908751052,954.0,950.0,scheduled_departures
2026-06-26,2026-07-03,DFW,864.0,917.5224210764698,953.0,950.25,scheduled_departures
2026-06-26,2026-06-27,LAS,378.0,390.1126160824343,378.0,377.25,scheduled_departures
2026-06-26,2026-06-28,LAS,486.0,493.6533670391882,491.0,499.75,scheduled_departures
2026-06-26,2026-06-29,LAS,491.0,501.0164024940065,496.0,498.25,scheduled_departures
2026-06-26,2026-06-30,LAS,411.0,419.33261481620724,416.0,418.0,scheduled_departures
2026-06-26,2026-07-01,LAS,419.0,426.64651295900217,418.0,420.5,scheduled_departures
2026-06-26,2026-07-02,LAS,493.0,490.82734926764346,495.0,496.75,scheduled_departures
2026-06-26,2026-07-03,LAS,487.0,493.8778150191206,496.0,498.75,scheduled_departures
2026-06-26,2026-06-27,LAX,518.0,504.53016194570796,510.0,508.5,scheduled_departures
2026-06-26,2026-06-28,LAX,563.0,571.2784310786893,572.0,565.75,scheduled_departures
2026-06-26,2026-06-29,LAX,568.0,576.9375623726125,581.0,577.0,scheduled_departures
2026-06-26,2026-06-30,LAX,533.0,540.6602062027549,539.0,530.75,scheduled_departures
2026-06-26,2026-07-01,LAX,539.0,551.1309357112519,546.0,539.25,scheduled_departures
2026-06-26,2026-07-02,LAX,580.0,573.7997338760705,587.0,583.25,scheduled_departures
2026-06-26,2026-07-03,LAX,565.0,561.4644063639176,586.0,581.25,scheduled_departures
2026-06-26,2026-06-27,MCO,442.0,449.6544286187531,442.0,436.5,scheduled_departures
2026-06-26,2026-06-28,MCO,426.0,435.35918221906445,428.0,428.0,scheduled_departures
2026-06-26,2026-06-29,MCO,424.0,434.8671889637871,427.0,425.75,scheduled_departures
2026-06-26,2026-06-30,MCO,400.0,408.57669934714045,401.0,393.0,scheduled_departures
2026-06-26,2026-07-01,MCO,402.0,416.6975611992752,402.0,393.5,scheduled_departures
2026-06-26,2026-07-02,MCO,424.0,423.68208866919343,424.0,422.25,scheduled_departures
2026-06-26,2026-07-03,MCO,423.0,440.8326931953754,431.0,427.75,scheduled_departures
2026-06-26,2026-06-27,ORD,1009.0,961.7742057806414,980.0,992.75,scheduled_departures
2026-06-26,2026-06-28,ORD,1059.0,1058.1699160244993,1058.0,1065.75,scheduled_departures
2026-06-26,2026-06-29,ORD,1061.0,1067.8759453373664,1061.0,1062.5,scheduled_departures
2026-06-26,2026-06-30,ORD,1042.0,1036.3582664363687,1039.0,1040.0,scheduled_departures
2026-06-26,2026-07-01,ORD,1059.0,1041.4804808762215,1041.0,1047.0,scheduled_departures
2026-06-26,2026-07-02,ORD,1071.0,1060.4094441454804,1065.0,1060.25,scheduled_departures
2026-06-26,2026-07-03,ORD,1067.0,1030.9143572871558,1067.0,1062.25,scheduled_departures
2026-06-26,2026-06-27,PHX,475.0,485.956393166597,476.0,479.25,scheduled_departures
2026-06-26,2026-06-28,PHX,525.0,534.6781443211363,527.0,536.5,scheduled_departures
2026-06-26,2026-06-29,PHX,537.0,543.8329593803022,543.0,549.75,scheduled_departures
2026-06-26,2026-06-30,PHX,509.0,511.93912553474684,508.0,508.5,scheduled_departures
2026-06-26,2026-07-01,PHX,513.0,520.0274657646376,513.0,515.75,scheduled_departures
2026-06-26,2026-07-02,PHX,540.0,525.8623884652782,542.0,541.25,scheduled_departures
2026-06-26,2026-07-03,PHX,535.0,534.0302068619568,544.0,542.25,scheduled_departures
2026-06-26,2026-06-27,SEA,492.0,502.052388194221,497.0,483.75,scheduled_departures
2026-06-26,2026-06-28,SEA,524.0,529.293902881347,525.0,516.75,scheduled_departures
2026-06-26,2026-06-29,SEA,527.0,530.5743943706086,527.0,518.5,scheduled_departures
2026-06-26,2026-06-30,SEA,514.0,512.1352017777342,511.0,499.75,scheduled_departures
2026-06-26,2026-07-01,SEA,513.0,517.2933903103274,511.0,505.25,scheduled_departures
2026-06-26,2026-07-02,SEA,527.0,517.5038321272712,527.0,526.25,scheduled_departures
2026-06-26,2026-07-03,SEA,523.0,521.5772307320947,528.0,527.0,scheduled_departures
2026-07-03,2026-07-04,ATL,697.0,779.7509879386702,788.0,783.75,scheduled_departures
2026-07-03,2026-07-05,ATL,919.0,874.2958914906939,866.0,915.75,scheduled_departures
2026-07-03,2026-07-06,ATL,944.0,914.6424102994548,858.0,923.0,scheduled_departures
2026-07-03,2026-07-07,ATL,901.0,853.8396875338506,845.0,882.75,scheduled_departures
2026-07-03,2026-07-08,ATL,907.0,845.0223912422852,845.0,884.0,scheduled_departures
2026-07-03,2026-07-09,ATL,953.0,872.4706638025998,857.0,920.25,scheduled_departures
2026-07-03,2026-07-10,ATL,954.0,870.8580738231915,851.0,919.5,scheduled_departures
2026-07-03,2026-07-04,CLT,309.0,478.3323599036786,474.0,474.25,scheduled_departures
2026-07-03,2026-07-05,CLT,516.0,511.41762207667927,507.0,512.0,scheduled_departures
2026-07-03,2026-07-06,CLT,521.0,515.1095468462742,511.0,514.0,scheduled_departures
2026-07-03,2026-07-07,CLT,490.0,487.5210460561882,487.0,490.75,scheduled_departures
2026-07-03,2026-07-08,CLT,438.0,491.46980247898557,494.0,498.5,scheduled_departures
2026-07-03,2026-07-09,CLT,521.0,519.8410438612625,519.0,518.25,scheduled_departures
2026-07-03,2026-07-10,CLT,524.0,516.291650141521,514.0,516.25,scheduled_departures
2026-07-03,2026-07-04,DEN,657.0,889.0739468180763,874.0,872.25,scheduled_departures
2026-07-03,2026-07-05,DEN,972.0,973.5743755007653,977.0,976.75,scheduled_departures
2026-07-03,2026-07-06,DEN,994.0,1002.8750088912476,996.0,995.25,scheduled_departures
