route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct
LAX-SEA,LAX,SEA,954.0,7450,6,85.33,-2.78,25.0,0.886
IAH-LAX,IAH,LAX,1379.0,5220,6,83.9,-0.63,29.0,0.498
SGF-ORD,SGF,ORD,438.0,1469,2,71.83,15.39,71.0,3.199
OKC-LAX,OKC,LAX,1187.0,930,2,86.82,-2.58,22.0,1.075
CHA-DFW,CHA,DFW,695.0,1608,4,77.32,11.41,67.6,3.358
ORD-DSM,ORD,DSM,299.0,3413,6,71.32,15.47,68.0,3.75
DFW-SPS,DFW,SPS,113.0,729,2,84.64,3.81,34.6,3.292
RAP-ORD,RAP,ORD,780.0,692,3,72.89,17.14,59.2,1.734
LAX-PDX,LAX,PDX,833.0,4347,4,86.33,-2.52,26.0,0.667
ORD-LIT,ORD,LIT,552.0,1459,4,75.37,8.38,57.0,2.742
ORD-ASE,ORD,ASE,1013.0,1134,1,60.8,31.72,108.5,2.998
PHX-SFO,PHX,SFO,651.0,4692,6,65.77,17.06,70.0,0.575
GJT-PHX,GJT,PHX,438.0,983,2,82.99,7.38,37.0,0.509
ACT-DFW,ACT,DFW,90.0,1073,2,83.82,4.74,35.0,4.101
PHX-LBB,PHX,LBB,588.0,366,4,77.41,16.29,42.0,0.273
ASE-ORD,ASE,ORD,1013.0,1133,1,63.78,29.21,128.2,5.825
ELP-PHX,ELP,PHX,347.0,2506,4,81.28,5.73,36.0,0.758
DFW-IDA,DFW,IDA,1095.0,528,1,77.12,11.16,62.1,1.515
AUS-LAX,AUS,LAX,1242.0,4091,6,82.34,1.92,34.0,0.709
ICT-PHX,ICT,PHX,870.0,766,3,84.49,0.45,28.0,0.653
LAX-OMA,LAX,OMA,1330.0,590,4,84.42,-2.55,31.7,0.678
