route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct,log_flights,segment_id,segment,pc1,pc2
AUS-HOU,AUS,HOU,148.0,1349,1,68.88,10.48,49.0,0.297,3.1300119496719043,1,"Thin route - long delay tail, high average delay",0.6585923354201411,-0.6051211539035921
AUS-HRL,AUS,HRL,273.0,708,1,73.37,10.71,54.5,0.282,2.850033257689769,2,"Thin route - reliable, short delay tail",0.3383256849225378,-1.147784634037388
AUS-OAK,AUS,OAK,1497.0,359,1,61.56,14.51,48.2,0.0,2.5550944485783194,1,"Thin route - long delay tail, high average delay",0.9643557792913309,-2.0902540787020403
AUS-PIT,AUS,PIT,1210.0,321,2,69.78,15.4,55.0,0.0,2.506505032404872,1,"Thin route - long delay tail, high average delay",0.7383400464380003,-1.6035831249447081
BDL-MDW,BDL,MDW,776.0,824,1,80.94,6.58,36.0,1.578,2.9159272116971158,2,"Thin route - reliable, short delay tail",-0.7683152734539984,-0.7469778630344176
BHM-MDW,BHM,MDW,570.0,457,1,86.16,0.93,22.3,1.094,2.6599162000698504,2,"Thin route - reliable, short delay tail",-2.0949311635973173,-0.9365120432027901
BNA-ATL,BNA,ATL,214.0,4265,2,83.47,0.82,32.0,1.758,3.629919035503542,2,"Thin route - reliable, short delay tail",-0.9018725096859785,1.4222315521167264
BNA-CHS,BNA,CHS,439.0,987,1,73.82,9.57,39.0,0.507,2.9943171526696366,2,"Thin route - reliable, short delay tail",-0.09988653406829434,-0.7369768734002378
BNA-CLE,BNA,CLE,448.0,1041,3,73.48,10.2,48.0,0.672,3.017450729510536,0,"Trunk route - multi-carrier, unreliable",0.5381199138976033,0.18075174683914036
BNA-CLT,BNA,CLT,328.0,3487,6,78.5,9.49,44.0,1.778,3.5424519473759766,0,"Trunk route - multi-carrier, unreliable",0.9077829597028866,2.79662257396628
BNA-CVG,BNA,CVG,230.0,521,1,77.22,6.2,37.3,0.576,2.7168377232995247,2,"Thin route - reliable, short delay tail",-0.6955673076330827,-1.1479660903772346
BNA-DTW,BNA,DTW,456.0,2421,4,78.89,6.07,36.0,1.363,3.383994789441733,0,"Trunk route - multi-carrier, unreliable",-0.029162493677532365,1.6501971959551622
BNA-ECP,BNA,ECP,401.0,1088,1,75.49,7.05,41.0,0.551,3.036628895362161,2,"Thin route - reliable, short delay tail",-0.3133239734863943,-0.5802157856766352
BNA-HOU,BNA,HOU,670.0,1820,1,76.23,2.45,39.0,0.659,3.2600713879850747,2,"Thin route - reliable, short delay tail",-0.6633571310241891,-0.026678809320585792
BNA-JAN,BNA,JAN,327.0,366,1,68.77,8.6,44.0,0.273,2.5634810853944106,2,"Thin route - reliable, short delay tail",0.14998168790157215,-1.7077549077371046
BNA-LAS,BNA,LAS,1587.0,2021,6,76.78,5.37,40.8,0.792,3.305566313515304,0,"Trunk route - multi-carrier, unreliable",0.15626258352675973,2.3167266911997464
BNA-MEM,BNA,MEM,200.0,515,1,71.15,9.8,46.8,0.388,2.711807229041191,2,"Thin route - reliable, short delay tail",0.22652416291518168,-1.3979155081876637
BNA-MIA,BNA,MIA,806.0,2537,5,75.04,11.85,51.0,1.261,3.404320467221731,0,"Trunk route - multi-carrier, unreliable",1.1261716365235086,1.8556133719299648
BNA-OKC,BNA,OKC,616.0,527,1,74.81,5.4,35.1,0.949,2.7218106152125467,2,"Thin route - reliable, short delay tail",-0.59482328765509,-1.1928155034798953
BNA-PNS,BNA,PNS,391.0,957,1,77.82,4.04,36.0,0.836,2.9809119377768436,2,"Thin route - reliable, short delay tail",-0.7831846098140586,-0.5646598145360512
