route,origin_airport,dest_airport,completed_flights,mean_delay_prob,observed_delay_rate,mean_p90_min,mean_cancel_prob
DFW-MCI,DFW,MCI,436,0.28951374930116014,0.3646788990825688,61.22258918438483,0.011344698315564783
ORD-LGA,ORD,LGA,1784,0.2893436589808675,0.3251121076233184,69.0694245399381,0.014487173777481224
ORD-SAN,ORD,SAN,768,0.2888461628075068,0.2981770833333333,65.49296525493264,0.007827698557151621
CHO-ORD,CHO,ORD,175,0.28879691932882584,0.21142857142857144,93.72931784493582,0.016917282135950194
LGA-FLL,LGA,FLL,646,0.28872210802308546,0.30495356037151705,62.34258539831675,0.015070928477079552
DAL-DCA,DAL,DCA,280,0.2885894775390625,0.4714285714285714,50.085354587009974,0.009090599287682731
MDW-SFO,MDW,SFO,120,0.2884954207887252,0.6333333333333333,48.750197633107504,0.00793843584958741
MDW-RIC,MDW,RIC,101,0.2883954227413281,0.49504950495049505,43.53716751136402,0.01095657521696056
DFW-STL,DFW,STL,442,0.2883268130850468,0.4253393665158371,63.97163787686447,0.011164994135265161
EWR-SEA,EWR,SEA,456,0.28806026374692456,0.27631578947368424,54.31744798861052,0.009480724935746117
AVL-FLL,AVL,FLL,133,0.2880372443145379,0.41353383458646614,56.944215000123904,0.003986021293563518
ORD-DTW,ORD,DTW,1005,0.28775204104274066,0.2557213930348259,71.19113249328007,0.010332686520996504
ORD-DCA,ORD,DCA,1222,0.28765118778751836,0.30032733224222585,62.93539244219441,0.010120688473032831
MIA-LAS,MIA,LAS,239,0.2874485837241097,0.4100418410041841,63.11780999794166,0.005289474529369424
MCO-DCA,MCO,DCA,735,0.287428988303457,0.3183673469387755,60.813058982252265,0.01060457353766536
DCA-LGA,DCA,LGA,739,0.2871893960906946,0.3261163734776725,61.39009060814513,0.022870816734720426
MIA-BWI,MIA,BWI,350,0.28709889852574894,0.3914285714285714,58.39283571788243,0.00802625278437716
ORD-MLI,ORD,MLI,353,0.2870564364086805,0.24362606232294617,65.31041235559047,0.013503844018832043
FLL-LGA,FLL,LGA,633,0.2870261952704728,0.35071090047393366,72.50196034460083,0.016926693813601398
DAY-ORD,DAY,ORD,260,0.28695590172249535,0.2692307692307692,86.44707776583158,0.014508832271650925
MCO-ROC,MCO,ROC,104,0.28693758904074246,0.4519230769230769,57.12694441355192,0.007718429473103383
ASE-DFW,ASE,DFW,197,0.2867631655054044,0.25380710659898476,82.16752332116141,0.027084773401930287
PIA-ORD,PIA,ORD,355,0.2865162002368712,0.21971830985915494,86.30873115432094,0.011136656076505021
