flight_id,date_key,carrier_code,origin_airport,route,delay_prob,delay_pred,delay_p50,delay_p90,cancel_prob,arr_del15,cancelled
2133790191526541712,20260601,AA,DFW,DFW-ANC,0.3370125,1,1.7822332,59.765415,0.013666073,0,0
913760520576398410,20260601,OO,SHV,SHV-CLT,0.09590444,0,-12.330982,17.100763,0.012056097,1,0
5011284296818468485,20260601,DL,AVL,AVL-ATL,0.14141414,0,-11.94944,21.225473,0.0078234235,0,0
10352415998681971646,20260601,UA,CLE,CLE-IAH,0.089354955,0,-12.338509,30.536554,0.0062439414,0,0
10591735667439227832,20260601,AA,ORD,ORD-SEA,0.26141426,1,-1.7808108,62.7729,0.00900755,0,0
17321453877768571182,20260601,DL,ATL,ATL-CHS,0.089354955,0,-5.655475,12.091008,0.010456473,0,0
2994374327432735275,20260601,OH,MKE,MKE-PHL,0.16029368,0,-12.910138,54.13461,0.018270787,0,0
283464040388621086,20260601,YX,CMH,CMH-LGA,0.22709952,1,-7.122813,46.62285,0.02448607,0,0
4414583564685022590,20260601,DL,MSP,MSP-SEA,0.2730834,1,-0.18043454,38.211357,0.0067503033,0,0
9386869868373141780,20260601,WN,SLC,SLC-LAS,0.43522388,1,6.2045236,45.697674,0.00701745,1,0
12000789852611373232,20260601,F9,STL,STL-LAS,0.24328545,1,-10.908829,56.49829,0.00910154,1,0
13945994339596475518,20260601,YX,CVG,CVG-BOS,0.2730834,1,-7.121236,66.98467,0.014526108,0,0
1983416040635253661,20260601,WN,LGA,LGA-MSY,0.3832008,1,4.1137304,74.68194,0.01059271,1,0
4218245018316568615,20260601,B6,FLL,FLL-LAX,0.14316992,0,-10.68245,18.9243,0.010298126,0,0
8035097165163768387,20260601,UA,ORD,ORD-PHL,0.1157727,0,-10.232146,19.719467,0.008149487,0,0
6051332989933107982,20260601,AA,AUS,AUS-ORD,0.14316992,0,-10.914175,32.88124,0.015985828,0,0
8593169550579564014,20260601,AA,DCA,DCA-MCO,0.3713163,1,-0.93152565,82.79403,0.014418158,1,0
4974776407626097692,20260601,DL,ATL,ATL-SRQ,0.14678898,0,-3.335327,28.322866,0.0076191057,0,0
17549165464429998414,20260601,OO,DTW,DTW-PLN,0.1868743,0,-8.129936,55.175167,0.029342312,0,0
9605399277661243152,20260601,UA,IND,IND-ORD,0.26141426,1,-6.791565,46.24231,0.010816266,0,0
3892208060757154026,20260601,DL,ORD,ORD-LGA,0.41153342,1,3.6074088,87.63012,0.02493418,0,0
1949209530661917995,20260601,WN,AUS,AUS-ELP,0.07552722,0,-10.069768,14.169589,0.0040772157,0,0
14905634260492544359,20260601,OO,LAX,LAX-SLC,0.089354955,0,-12.686294,17.937336,0.005181854,0,0
2630492757841154899,20260601,UA,DEN,DEN-DCA,0.17293233,0,-6.328312,31.626602,0.0066121346,0,0
8253631797450867841,20260601,WN,AUS,AUS-MIA,0.17293233,0,-2.5064867,45.431526,0.0050492845,0,0
7806627550680282604,20260601,MQ,ACT,ACT-DFW,0.24328545,1,-3.7100465,48.887085,0.023618856,1,0
17163271427146815792,20260601,YX,CLE,CLE-LGA,0.29376957,1,-7.265269,54.782017,0.028112771,0,0
1631950370205266337,20260601,DL,ATL,ATL-SAT,0.11854199,0,-7.071051,25.398893,0.0073935003,0,0
11047248361587254244,20260601,B6,SAV,SAV-BOS,0.2226762,1,-6.2084227,64.552376,0.012144365,0,0
9388129117127431251,20260601,WN,LAS,LAS-AUS,0.09590444,0,-5.615648,21.069027,0.0043106484,0,0
15610022806994196315,20260601,WN,OAK,OAK-LGB,0.24328545,1,-2.9814944,24.596237,0.0045063286,1,0
2456343650891881722,20260601,DL,LAS,LAS-MSP,0.14316992,0,-12.26445,25.181393,0.006676326,0,0
6777900870163901259,20260601,WN,CLE,CLE-STL,0.054302808,0,-11.912134,9.4851465,0.0055132117,1,0
9719188600713583891,20260601,G4,BLV,BLV-VPS,0.23073286,1,-10.237975,66.18345,0.005313571,0,0
12723380258773219058,20260601,UA,PDX,PDX-EWR,0.1157727,0,-8.522971,20.139051,0.014612058,0,0
10331365280295333702,20260601,UA,AUS,AUS-SFO,0.1157727,0,-10.691331,23.194216,0.004338762,0,0
3239238072990798670,20260601,YX,MSN,MSN-EWR,0.11854199,0,-13.447043,28.468346,0.01785657,0,0
1123979095997202728,20260601,AS,PHX,PHX-SEA,0.07552722,0,-11.655472,10.199291,0.0079450235,0,0
